TEST,ANSWER,TIME
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\251.txt,15,0.2857687473297119
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\252.txt,1,0.12003517150878906
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\253.txt,11,0.29889559745788574
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\254.txt,4,0.1975095272064209
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\255.txt,-1,0.1158456802368164
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\256.txt,8,0.19144725799560547
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\257.txt,-1,0.12128806114196777
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\258.txt,4,0.11523675918579102
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\259.txt,9,0.25216054916381836
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\260.txt,7,0.12578654289245605
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\261.txt,8,0.20237398147583008
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\262.txt,2,0.1370861530303955
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\263.txt,4,0.11288905143737793
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\264.txt,16,0.26311779022216797
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\265.txt,3,0.11906194686889648
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\266.txt,9,0.1492023468017578
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\267.txt,16,0.35466790199279785
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\268.txt,8,0.13439130783081055
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\269.txt,9,0.1238100528717041
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\270.txt,5,0.201218843460083
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\271.txt,6,0.15097999572753906
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\272.txt,7,0.25825977325439453
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\273.txt,2,0.2783997058868408
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\274.txt,9,0.2631955146789551
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\275.txt,5,0.15291309356689453
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\276.txt,-1,0.15122199058532715
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\277.txt,12,0.19109129905700684
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\278.txt,2,0.11738204956054688
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\279.txt,6,0.18952488899230957
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\280.txt,7,0.12345671653747559
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\281.txt,9,0.13710379600524902
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\282.txt,6,0.12860345840454102
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\283.txt,2,0.20745182037353516
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\284.txt,14,0.27538514137268066
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\285.txt,2,0.1887209415435791
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\286.txt,9,0.1863265037536621
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\287.txt,-1,0.11057686805725098
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\288.txt,2,0.11919689178466797
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\289.txt,6,0.14128947257995605
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\290.txt,4,0.1467115879058838
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\291.txt,7,0.2350482940673828
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\292.txt,16,0.25095438957214355
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\293.txt,9,0.29879021644592285
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\294.txt,9,0.13977575302124023
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\295.txt,6,0.12093830108642578
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\296.txt,13,0.3490417003631592
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\297.txt,5,0.2542731761932373
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\298.txt,-1,0.10867762565612793
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\299.txt,14,0.2923269271850586
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\300.txt,2,0.12897992134094238
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\301.txt,11,0.23595333099365234
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\302.txt,8,0.1387326717376709
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\303.txt,6,0.2667570114135742
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\304.txt,13,0.21118903160095215
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\305.txt,8,0.13098454475402832
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\306.txt,8,0.1365966796875
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\307.txt,14,0.2594566345214844
